[ 2012-05-17T15:48:39+08:00 ] /yiyuan/index.php/admin/admin/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001149s ]
[ 2012-05-17T15:48:39+08:00 ] /yiyuan/index.php/admin/admin/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001271s ]
[ 2012-05-17T15:48:39+08:00 ] /yiyuan/index.php/admin/admin/index | NOTIC: [2] Missing argument 1 for baseAction::__construct(), called in D:\xampp\htdocs\yiyuan\ThinkPHP\Common\common.php on line 277 and defined baseAction.class.php 第 8 行.
[ 2012-05-17T15:48:39+08:00 ] /yiyuan/index.php/admin/admin/index | NOTIC: [8] A session had already been started - ignoring session_start() authAction.class.php 第 4 行.
[ 2012-05-17T15:48:39+08:00 ] /yiyuan/index.php/admin/admin/index | NOTIC: [2] in_array() expects parameter 2 to be array, string given authAction.class.php 第 9 行.
[ 2012-05-17T15:48:39+08:00 ] /yiyuan/index.php/admin/admin/index | SQL: SHOW COLUMNS FROM `yiyuan_menu` [ RunTime:0.004534s ]
[ 2012-05-17T15:48:39+08:00 ] /yiyuan/index.php/admin/admin/index | SQL: SELECT * FROM `yiyuan_menu`  [ RunTime:0.000408s ]
[ 2012-05-17T15:48:39+08:00 ] /yiyuan/index.php/admin/admin/index | INFO: Tag[ view_template ] --START--
[ 2012-05-17T15:48:39+08:00 ] /yiyuan/index.php/admin/admin/index | INFO: Run LocationTemplate Behavior [ RunTime:0.001061s ]
[ 2012-05-17T15:48:39+08:00 ] /yiyuan/index.php/admin/admin/index | INFO: Tag[ view_template ] --END-- [ RunTime:0.001130s ]
[ 2012-05-17T15:48:39+08:00 ] /yiyuan/index.php/admin/admin/index | INFO: Tag[ view_parse ] --START--
[ 2012-05-17T15:48:39+08:00 ] /yiyuan/index.php/admin/admin/index | INFO: Run ParseTemplate Behavior [ RunTime:0.010339s ]
[ 2012-05-17T15:48:39+08:00 ] /yiyuan/index.php/admin/admin/index | INFO: Tag[ view_parse ] --END-- [ RunTime:0.010466s ]
[ 2012-05-17T15:48:39+08:00 ] /yiyuan/index.php/admin/admin/index | INFO: Tag[ view_filter ] --START--
